"Obsolète","Code terrain","Toponyme","Type","Date creation","Dernière modification","Date validation","Position","Latitude","Longitude","Altitude","Consignes","Nombre de pistes","Nature première piste","Axe préférentiel première piste","Largeur première piste","Longueur première piste","Orientation première piste","Nature deuxième piste","Axe préférentiel deuxième piste","Largeur deuxième piste","Longueur deuxième piste","Orientation deuxième piste","Radio","Carburant","Facilités","Facilités en clair","Email de contact","Téléphone","Informations complémentaires"
"","LF0121","La Tranclière","Base ULM Accès privé","8/03/2011","18/02/2017","19/02/2017","46.095759195808945, 5.286019507934611","N 46 05 45","E 005 17 10","820 ft","Tour de piste impératif du côté autoroute.Ne pas voler au dessus du village de la Tranclière.Brume presque toujours dégagée.","1","herbe","'36","40","640","'18-36","herbe","","","","'Inconnue","123.5","à 4.5 kms","6,4","Restauration à proximité, Gîte à proximité","roger.emeriat@wanadoo.fr","+33 4 74 46 84 34","Attention région très brumeuse altiport de Corlier à 15 km presque toujours dégagéTél du terrain 04 74 39 19 77Village le plus proche essence, Hôtels Pont D'ain à 4, 5 km.Auberge du Mas Pommier à Druillat direction, Pont d'Ain tel 04 74 39 17 40 "
"","LF0125","Lavours","Base ULM Autorisation OBLIGATOIRE ","8/03/2011","18/02/2017","19/02/2017","45.795718117737, 5.773954322753866","N 45 47 45","E 005 46 26","768 ft","TDP à l'EstEviter les villages en rouge sur la photofaire la vent-arrière sur le Rhône.Attention aux rouleaux par vent de travers","1","herbe","","20","450","'01-19","herbe","","","","'Inconnue","123.5","","","","","+33 4 79 42 11 57","attention, base Hydro ULM club de Lavours à proximité "
"","LF0151","Corbonod Seyssel","Aérodrome Privé Avec Restrictions Autorisation OBLIGATOIRE ","6/09/2011","7/10/2017","9/10/2017","45.961435318008235, 5.817990303039551","N 45 57 41","E 005 49 05","1175 ft","Arrivée dans axe de la piste puis, du centre vent arrière main gauche Suivre le plan imperatif (photo jointe)","1","dur","'01","15","400","'01-19","herbe","","","","'Inconnue","123.5","","6,4","Restauration à proximité, Gîte à proximité","dudunoyer@yahoo.fr","+33 6 07 38 20 15","PPR obligatoire pour tous, ULM et avion (arrêté préfectoral). Contacter le Pdt de l'AAC gestionnaire.Radio obligatoire pour tous + qualif montagne souhaitée pour avion. Interdit ULM classe 1Survol interdit à l'Est du Rhône entre Seyssel et Culoz: Zone Biotope Natura 2000Interdit en école sauf découverte du terrain pour nouveau locataire . .Radio 123.5 car piste légèrement convexe.Camping 1.5 KMResto + hôtel : 2Km"
"","LF0152","Crottet Le Bief","Base ULM Autorisation OBLIGATOIRE ","2/12/2011","18/02/2017","19/02/2017","46.28512660120123, 4.886040687561035","N 46 17 06","E 004 53 10","597 ft","Atterrissage en 19Décollage en 01 uniquementTDP à l'Est, intégration vent arrière 19 par le travers du seuil 01 afin d'éviter le survol des habitations au Sud.","1","herbe","'19","10","320","'01-19","herbe","","","","'Inconnue","Auto info 123.500","","","","club.ulm.crottet@gmail.com","+33 3 85 31 59 99","Tél. Club:  03 85 31 59 99Tél. mobile : 06.52.38.01.88"
"","LF0153","Izenave","Base ULM Accès privé","8/03/2011","18/02/2017","19/02/2017","46.027364325662, 5.524019645507792","N 46 01 39","E 005 31 26","2280 ft","Piste située en contrebas à l'est de l'altisurface de CORLIER qui est à survoler après auto-information en 130.00. Il est préférable d'appeler avant Pierre PELISSON pour consignes. Accueil chaleureux garanti.","1","herbe","","20","300","'16-34","herbe","","","","'Inconnue","130.00","","","","","+33 4 74 76 30 63","AD - LFJD Corlier à proximité"
"","LF0154","Polliat","Base ULM Autorisation OBLIGATOIRE ","8/03/2011","26/12/2015","23/02/2016","46.25588282694129, 5.149563785736063","N 46 15 21","E 005 08 58","718 ft","","1","herbe","","20","400","'16-34","herbe","","","","'Inconnue","123.5","","","","alainbenonnier@orange.fr","+33 6 11 32 68 47",""
"oui","LF0155","Sergy ","Base ULM fermée définitivement","8/03/2011","7/07/2015","24/08/2017","46.25377556022431, 6.015897735412636","N 46 15 14","E 006 00 57","1509 ft","Plateforme fermée (temporairement), son utilisation est strictement interdite. A 2,3km la frontière suisse: ULMs interdits en Suisse ! A 500m au SE, la limite de la CTR de classe 'D' de Genève.... A 800m au Nord, un petit lac qui est le point de report 'N","1","herbe","","","500","'04-22","herbe","","","","'Inconnue","","","","invalid","vbujard@freesurf.ch","+41 78 711 21 35"," Consultez: http://www.agcna.org/images/Arr.VFR.jpg. Plateforme située le long de l'ancienne voie unique ferrée qui allait jadis de Bellegarde (Ain) à Nyon (Vaud)."
"","LF0157","Mionnay","Base ULM Privé Avec Restrictions Autorisation OBLIGATOIRE ","28/10/2011","20/03/2017","22/03/2017","45.90046192366156, 4.896061420440674","N 45 54 02","E 004 53 46","900 ft","TDP Ouest (Coté autoroute) 1300 ft ATTENTION CONTACT PREALABLE ET AUTORISATION ECRITE OBLIGATOIREterrain courtFortes turbulences possibles en courte finale 19","1","herbe","'01","40","230","'01-19","herbe","","","","'Inconnue","123.500","non","","","eric.delachambre@orange.fr","+33 6 80 53 32 48","Plateforme difficileCONTACT PREALABLE ET AUTORISATION ECRITE OBLIGATOIRE"
"","LF0158","Rhône Lavours","HydroSurface Libre Ouvert aux ULM Autorisation OBLIGATOIRE ","26/12/2011","9/04/2017","11/04/2017","45.81087630653, 5.781319903369194","N 45 48 39","E 005 46 53","767 ft","Surveiller trafic fluvial et plaisance.Lignes haute tension au-dessus du barrage. Le survol à basse altitude de la réserve naturelle du Marais de Lavours et de l'ile Malourdie à proximité de la plate forme est interdit.","1","eau","","","","'omnidir","herbe","","","","'Inconnue","Auto-info 123.5","","3","Restauration sur place","Carton_r@hotmail.com","+33 4 79 42 11 57","Ponton du restaurant disponibleHydroULM Club de Lavours.L'hydrosurface est réservée aux ULMHydro."
"","LF0159","Montrevel en Bresse","HydroSurface Libre Ouvert aux ULM Autorisation OBLIGATOIRE ","11/04/2012","29/03/2016","31/03/2016","46.344989833094, 5.142219161987327","N 46 20 42","E 005 08 32","620 ft","","1","eau","","","1000","'omnidir","herbe","","","","'Inconnue","Auto-info 123.5","","3","Restauration sur place","","+33 4 74 42 72 88",""
"","LF0160","Tallissieu","Aérodrome Privé Ouvert aux ULM","14/12/2013","28/08/2017","30/08/2017","45.871696857606, 5.726961498355877","N 45 52 18","E 005 43 37","1433 ft","main gauche à 300 ft","1","herbe","'34","10","150","'16-34","herbe","","","","'Inconnue","","","","invalid","","+33 6 69 19 20 64","Aérodrome privé de type altisurface.Aérologie difficile, même quand c'est calme ! plateforme supérieure étroite, bon état de surface mais devers à gauche dans le sens atterrissage, éviter le survol des riverains."
